record_id,Key,ItemType,PublicationYear,Author,title,PublicationTitle,ISBN,ISSN,DOI,Url,abstract,Date,DateAdded,DateModified,AccessDate,Pages,NumPages,Issue,Volume,NumberOfVolumes,JournalAbbreviation,ShortTitle,Series,SeriesNumber,SeriesText,SeriesTitle,Publisher,Place,Language,Rights,Type,Archive,ArchiveLocation,LibraryCatalog,CallNumber,Extra,Notes,FileAttachments,LinkAttachments,ManualTags,AutomaticTags,Editor,SeriesEditor,Translator,Contributor,AttorneyAgent,BookAuthor,CastMember,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,ReviewedAuthor,Scriptwriter,WordsBy,Guest,Number,Edition,RunningTime,Scale,Medium,ArtworkSize,FilingDate,ApplicationNumber,Assignee,IssuingAuthority,Country,MeetingName,ConferenceName,Court,References,Reporter,LegalStatus,PriorityNumbers,ProgrammingLanguage,Version,System,Code,CodeNumber,Section,Session,Committee,History,LegislativeBody,Abstract_Miss,keep,included,asreview_ranking
52,GGQRLCTT,journalArticle,1990,"Zarnikau, Jay",Customer Responsiveness to Real-Time Pricing of Electricity,Energy Journal,,1956574,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=0241821&site=ehost-live,"The success of real-time pricing efforts will depend in large part upon the extent to which electricity consumers are able to alter their consumption patterns in response to the prices quoted by the utility. This article provides some original estimates of hourly price elasticity responses to real time prices by large industrial energy consumers. An econometric translog cost function methodology was adopted for this purpose. Using data for large industrial users in 1986, the estimated own-price elasticity response averaged -0.09, implying a small but significant reaction to the changing hourly prices. Design deficiencies in the particular rate program studies may have limited customer reaction.",1990,1/25/2023 12:39,1/29/2023 10:20,,99-116,,4,11.0,,Energy Journal,,,,,,,,,,,eoh,,EBSCOhost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,11
64,AN2CUG8U,journalArticle,2020,"Onyekuru, Anthony NwaJesus; Eboh, Eric; Ume, Chukwuma Otum","Effects of relative pricing of alternative cooking energy sources on their substitution between rural and urban households in Enugu State, Nigeria",Journal of Agricultural Extension,,2408-6851,10.4314/jae.v24i1.8,https://www.ajol.info/index.php/jae/article/view/192813,"This study investigated the effects of relative pricing of alternative cooking energy sources on their substitution. The study was conducted in Enugu State Nigeria using primary data collected from two hundred and four households from rural and urban areas of the state, using structured questionnaires. The information collected were pattern and levels of energy use, relative pricing of alternative energies and energy substitution pattern. Data were analyzed using multiple regression analysis and Chow test. Results show that the energy sources used in the rural areas are fuelwood (51.5%) and kerosene (48.5), while those used in the urban areas are fuelwood (30.6%), charcoal (31.6%), kerosene (33.7%) and liquefied petroleum gas (4.1%). There was a relative cross inelastic nature of the energy sources. The price of fuel wood varied inversely and directly with quantities of kerosene demanded in the rural and urban areas, respectively, while the price of charcoal had an inverse relationship with the quantities of kerosene consumed in both urban and rural areas. In particular, policies geared towards subsidizng cost of kerosene and LPG and making them more readily available will lead to reduction in the use of fuelwoods and charcoal in both the rural and urban areas, thereby reducing excessive pressure on our forest and green house gas emission..Keywords: Energy substitution, energy pricing, forest conservation",  2/4/2020,2/21/2023 7:36,2/21/2023 7:40,2023-02-21 19:36:55,75-84,,1,24.0,,,,,,,,,,en,Copyright (c),,,,www.ajol.info,,Number: 1,,C:\Users\bhem\Zotero\storage\9Q24RUMT\Onyekuru et al. - 2020 - Effects of relative pricing of alternative cooking.pdf,,,energy pricing; Energy substitution; forest conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,12
166,WGHLWJZY,journalArticle,1981,"Lillard, Lee A.; Acton, Jan Paul",Seasonal Electricity Demand and Pricing Analysis with a Variable Response Model,The Bell Journal of Economics,,0361-915X,10.2307/3003509,https://www.jstor.org/stable/3003509,"To forecast accurately the welfare gains and effects on demand from introducing seasonal electricity rates, we use a variable response model with data from the Los Angeles Electricity Rate Study. The model exploits the time series and cross sectional variation in the data and permits household-specific response to hot and cold weather and in the ""permanent"" level of consumption. The full information maximum likelihood estimates permit more flexible and accurate forecasts as well as appropriate test statistics. We find that price elasticity is small but significant and that it increases with hotter weather. There are important differences among subpopulations, but the overall welfare gain appears very small in absolute terms and small when compared with the gains from introducing time-of-day pricing estimated from the TOD component of the Los Angeles study.",1981,2023-03-03 09:18:00,2023-03-03 10:24:00,2023-02-28 09:33:08,71-92,,1,12.0,,,,,,,,,,,,,,,JSTOR,,,,,,Consumer Economics--Expenditure Patterns and Consumption of Specific Items 9212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,13
175,RIEEDS6M,journalArticle,2050,"Chirakijja, Janjala; Jayachandran, Seema; Ong, Pinchuan",Surviving the Winter: Inexpensive Heating Reduces Mortality,,,,,,"This paper examines how the price of heating aï¬€ects mortality in the US. When the price is higher, households will use less heating, and exposure to cold has been linked to cardiovascular failure, respiratory infections, and other health problems, and is a hypothesized contributor to the pattern of â€œexcess winter mortality.â€ Heating prices could also aï¬€ect health if high energy bills lead to cutbacks in food or health care spending. Our empirical approach combines spatial variation across the US in the energy source used for home heating and temporal variation in the national prices of diï¬€erent energy sources; whether natural gas or electricity is used for heating varies signiï¬cantly across counties, and the relative price of natural gas to electricity varies over time, notably due to the boom in shale production of natural gas during our 2000 to 2010 study period. Using microdata on all deaths in the US, we ï¬nd that a lower heating price reduces winter mortality. The eï¬€ect is larger for males and is due mostly to cardiovascular and respiratory causes of death.",,1/26/2023 1:31,2/25/2023 12:04,,,,,,,,,,,,,,,en,,,,,Zotero,,,,,https://bpb-us-e1.wpmucdn.com/sites.northwestern.edu/dist/4/1989/files/2017/10/fuel_pov_paper_11Nov2017-1helxza.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,14
150,XQJCTHP4,journalArticle,2020,"Chitnis, Mona; Fouquet, Roger; Sorrell, Steve",Rebound Effects for Household Energy Services in the UK,The Energy Journal,,1956574,10.5547/01956574.41.4.mchi,http://www.iaee.org/en/publications/ejarticle.aspx?id=3526,"This study estimates the combined direct and indirect rebound effects from energy efficiency improvements in the delivery of six energy services to UK households, namely: heating; lighting; cooking; refrigeration and clothes washing; entertainment and computing; and private vehicle travel. We use a unique database on the price and quantity demanded of these energy services over the past half century. We estimate a two-stage almost ideal demand system for household expenditure, using these energy services as expenditure categories. We estimate rebound effects in terms of carbon emissions and only include the â€˜directâ€™ emissions associated with energy consumption. Our results suggest direct rebound effects of 70% for heating, 54% for private vehicle travel and ~90% for the other energy services. However, these effects are offset by negative indirect rebound effectsâ€”that is, indirect rebounds contribute additional emission savings. As a result, our estimates of combined rebound effects are generally smaller, namely 54% for lighting, 55% for heating, 41% for refrigeration and clothes washing, â€“12% for entertainment and computing, 44% for cooking and 69% for vehicle travel. We also find some evidence that rebound effects have declined over time. We provide some important caveats to these results, and indicate priorities for future research.", 10/1/2020,2/25/2023 3:26,2/28/2023 8:23,2023-02-16 13:58:02,,,4,41.0,,EJ,,,,,,,,,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,15
77,U8FKI5IY,journalArticle,2006,"Bonilla, David","Energy prices, production and the adoption of cogeneration in the UK and the Netherlands",,,,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=0853624&site=ehost-live,"This paper investigates economic incentives influencing the adoption of energy saving technology by industry, namely, CHP in UK and Dutch manufacturing sectors. The empirical analysis is based on a cross sectional time series econometric model, and examines how industrial output and historical increases in the price of electricity relative to gas prices, spark the diffusion of CHP. Production and price elasticities are estimated across heterogeneous industrial groups. Using data for 13 manufacturing sectors the model shows that fuel cost savings and industry output impact significantly on CHP uptake. Model outcomes are found to differ depending on the period of estimation and the estimation period is key in determining the impact of gas price and purchased power prices on adoption of CHP.",2006,1/25/2023 12:53,1/25/2023 12:53,,27-27,,,,,,,,,,,,,,,,eoh,Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org,EBSCOhost,,"Publisher: Faculty of Economics (formerly DAE), University of Cambridge, Cambridge Working Papers in Economics",,,,Single Equation Models; Energy: General Q40; Industry Studies: Manufacturing: General L60; Single Variables: Panel Data Models; Spatio-temporal Models C23; Econometric Modeling: General C50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,16
188,QZM6GGAS,journalArticle,2020,"HINDRIKS, Jean; SERSE, Valerio",The incidence of VAT reforms in electricity markets: Evidence from Belgium,,,,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1877556&site=ehost-live,"In April 2014, the Belgian government reduced the VAT rate on the electricity price from 21% to 6%. In September 2015, however, this tax cut was repealed, and the VAT rate was reinstated to 21%. This paper investigates the impact of such temporary exogenous VAT reform on the Belgian electricity market. We study both the pass-through of the VAT reform to electricity prices and the effect of this (exogenous) price change on electricity consumption. We estimate the VAT pass-through by a difference-in-differences approach using business electricity prices (not subject to VAT) as a control group. To estimate the impact of the VAT change on demand, we perform an event study on the electricity flowed monthly over the grid at the network operator level. Our findings reveal that both the tax cut and the tax hike were entirely shifted to the electricity price (i.e., 100%). Exploiting different sources of price variation, our results reveal a price elasticity of residential demand for electricity between -0.09 and -0.17. Interestingly, we also find that consumption reacted quickly and symmetrically to the VAT cut and the subsequent VAT hike.",2020,1/25/2023 12:36,1/25/2023 12:36,,,,,,,,,,,,,,,,,,eoh,Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org,EBSCOhost,,"Publisher: Universite catholique de Louvain, Center for Operations Research and Econometrics (CORE), LIDAM Discussion Papers CORE: 2020012",,,,Energy: Demand and Supply; Energy: Government Policy Q48; Prices Q41; Environmental Taxes and Subsidies H23; Redistributive Effects; Taxation and Subsidies: Externalities; Taxation and Subsidies: Incidence H22; Optimal Taxation H21; Taxation and Subsidies: Efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,17
177,943E7TYT,journalArticle,2012,"Schiller, Frank; Seidler, Gerold; Wimmer, Maximilian",Temperature Models for Pricing Weather Derivatives,Quantitative Finance,,14697688,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1307197&site=ehost-live,"We present four models for predicting temperatures that can be used for pricing weather derivatives. Three of the models have been suggested in previous literature, and we propose another model that uses splines to remove trend and seasonality effects from temperature time series in a flexible way. Using historical temperature data from 35 weather stations across the United States, we test the performance of the models by evaluating virtual heating degree days (HDD) and cooling degree days (CDD) contracts. We find that all models perform better when predicting HDD indices than predicting CDD indices. However, all models based on a daily simulation approach significantly underestimate the variance of the errors.",2012-03,1/25/2023 12:38,1/25/2023 12:38,,489-500,,3,12.0,,Quantitative Finance,,,,,,,,,,,eoh,,EBSCOhost,,,,,,Contingent Pricing; Futures Pricing; option pricing G13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,18
31,LLDV6L29,journalArticle,2017,"Stede, Jan",Bridging the Industrial Energy Efficiency Gap--Assessing the Evidence from the Italian White Certificate Scheme,Energy Policy,,3014215,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1635694&site=ehost-live,"The Italian white certificate scheme is the main national policy instrument to incentivise energy efficiency of the industrial sector, with savings from white certificates amounting to 2% of Italy's 2012 primary energy consumption. The mechanism sets binding energy-saving targets on electricity and gas distributors with at least 50,000 clients and includes a voluntary opt-in model for participation from other parties. This paper investigates and assesses the elements of the scheme that help overcome several barriers to deliver industrial energy efficiency. Results from a survey conducted among leading experts indicate that the Italian system provides a strong financial incentive to energy efficiency investments, covering a significant share of investment costs and thus reducing payback time. Moreover, the scheme fosters the development of energy service companies (ESCOs), which are key to developing, installing and arranging finance for projects on the ground. In conjunction with other policies, the mechanism also raises awareness of energy efficiency investment opportunities, thus helping overcome the market failure of insufficient information. Core challenges remain, including tackling regulatory uncertainty and improving access to finance.",2017-05,1/25/2023 12:37,1/25/2023 12:37,,112-123,,,104.0,,Energy Policy,,,,,,,,,,,eoh,,EBSCOhost,,,,,,Electric Utilities L94; Energy: Demand and Supply; Energy: Government Policy Q48; Prices Q41; Gas Utilities; Pipelines; Water Utilities L95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,19
186,5P2P3NTR,journalArticle,2013,"Lee, Jungmin",The Impact of a Mandatory Cooling-Off Period on Divorce,Journal of Law and Economics,,222186,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1389750&site=ehost-live,"A mandated waiting period between a divorce filing and the issuance of the divorce decree has been adopted in many countries to reduce impetuous divorces and encourage reconciliation. In this paper, I estimate the impact of a compulsory waiting period on the divorce rate. Since 2004, South Korean local courts had been voluntarily adopting the cooling-off policy, and later it became a national law. To evaluate the impact of the policy, I exploit variation in the timing of the policy adoption across local courts. I find that the cooling-off policy significantly decreases the divorce rate, whereas there is no significant effect on the divorce filing rate.",2013-02,1/25/2023 12:39,1/25/2023 12:39,,227-243,,1,56.0,,Journal of Law and Economics,,,,,,,,,,,eoh,,EBSCOhost,,,,,,Domestic Abuse J12; Family Structure; Marital Dissolution; Marriage; Demographic Economics: Public Policy J18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,20
